id,name,type,rate,accuracy,range,stat,damage,effect1,effect2,contest
346,"Fake Out",Normal,Battle,2,Melee,ATK,1d12+6,"1 Target, Interrupt","You may only use Fake Out at the beginning of an encounter, as an Interrupt. Fake Out Flinches the target.","Cute - 2d4 - Round Starter"
347,"False Swipe",Normal,At-Will,2,Melee,ATK,1d12+6,"1 Target, Pass","If False Swipe would lower the target to 0 HP or less, the target is instead set to 1 HP unless the target was already below 0 HP.","Cool - None - Inversed Appeal"
348,Feint,Normal,Center,2,Melee,ATK,1d10+4,"1 Target, Interrupt","Feint may only Interrupt Intercepts. If used as an Interrupt, the target flips a coin, if they win the flip, they may retain the use of their Intercept for the encounter as if they did not use it during the encounter. If the target loses the flip, they use up their Intercept. Feint ignores all Intercept effects, dealing damage as if the Intercept was not used.","Beauty - None - Inverse Appeal"
349,Flail,Normal,EOT,2,Melee,ATK,"See Effect","1 Target","If the user has more than 70% of its total HP, use 1d10+5 for Damage Dice Roll. If the user has more than 36% of its total HP, use 2d10+10. If the user has more than 21% of its total HP, use 3d10+10. If the user has more than 6% of its total HP, use 4d10+10. If the user has 1-5% of its total HP, use 5d10+20","Cute - 2d4 - Final Appeal"
350,Flash,Normal,EOT,2,"Ranged (4)",,,"No Target, Burst","Flash creates a 4-meter Burst. Flash makes all Legal Targets need +1 to hit during Accuracy Checks.<br/>Grants: Glow","Beauty - 1d4 - Unsettling"
351,"Focus Energy",Normal,At-Will,0,Self,,,"No Target, Coat","The userâ€™s Moves are Critical Hits on 17-20. If a Move already has an extended Critical Hit range, Focus energy extends that range by -3. Focus Energyâ€™s effect cannot be used more then once per encounter unless the user somehow loses the benefit of Focus Energy.","Cool - None - Get Ready!"
352,"Follow Me",Normal,Center,0,Self,,,"No Target, Intercept","All Foes may only target the user when using a Move until the user is knocked out or switched out. This Effect lasts for one round of combat.","Cute - 2d4 - Scrambler"
353,Foresight,Normal,At-Will,0,Self,,,"No Target","The userâ€™s Normal-Type and Fighting-Type Moves can now hit and affect Ghost-Type targets. Foresightâ€™s user is unaffected by the effects of Moves which make them have to roll higher during Accuracy Checks to hit. Targets may not use their Speed stat to modify Accuracy Checks. Foresightâ€™s user can identify the real target using Double Team.","Smart - 1d4 - Good Show!"
354,Frustration,Normal,EOT,2,Melee,ATK,4d12+16,"1 Target","The user may only use Frustration if its Loyalty is level 0 or 1.","Cute - 2d4 - Round Ender"
355,"Fury Attack",Normal,EOT,4,Melee,ATK,1d6+3,"1 Target, Scatter","Fury Attack can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Attack attack on that turn.","Cool - 2d4 - Reliable"
356,"Fury Swipes",Normal,EOT,4,Melee,ATK,1d6+3,"1 Target, Scatter","Fury Swipes can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Swipes attack on that turn.","Tough - 2d4 - Reliable"
357,"Giga Impact",Normal,Center,4,Melee,ATK,7d10+28,"1 Target, Dash, Burst, Exhaust","Giga Impact creates a 3-meter Burst around the target. On Miss, Giga Impact deals the userâ€™s Attack instead to all possible targets.","Beauty - 2d4 - Seen Nothing Yet"
358,Glare,Normal,At-Will,3,"Ranged (5)",,,"1 Target","Glare Paralyzes the target.","Tough - 2d4 - Excitement"
359,Growl,Normal,At-Will,2,"Ranged (5)",,,"No Target, Burst, Sound","Growl creates a 5-meter Burst. Growl lowers all Legal Targets Attack 1 Combat Stage.","Cute - 2d4 - Excitement"
360,Growth,Normal,At-Will,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat Stage and raise the userâ€™s Special Attack 1 Combat Stage. If it is Sunny, double the amount of Combat Stages gained.<br/>Grants: Inflatable","Beauty - None - Get Ready!"
361,Guillotine,Normal,Center,15,Melee,,,"1 Target","The target is set to 0 HP.","Cool - None - Big Show"
362,"Happy Hour",Normal,At-Will,0,Self,,,"No Target",,"Cute - None - Inversed Appeal"
363,Harden,Normal,At-Will,0,Self,,,"No Target","Raise the userâ€™s Defense 1 Combat Stage.","Tough - 2d4 - Hold That Thought"
364,Headbutt,Normal,EOT,2,Melee,ATK,3d8+10,"1 Target, Dash","Headbutt Flinches the target on 15-20 during Accuracy Check.","Tough - 3d4 - No Effect"
365,"Head Charge",Normal,EOT,2,Melee,ATK,5d12+18,"1 Target, Push, Recoil 1/4","The target is Pushed back 5-meters. The target takes an additional 1d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12. After Head Charge deals damage, Recoil.","Tough - 3d4 - No Effect"
366,"Heal Bell",Normal,Center,0,"Ranged (3)",,,"No Target, Burst","Heal Bell creates a 3-meter Burst. All targets are cured of any Status ailments. Heal Bell cannot miss.","Beauty - None - Reflective Appeal"
367,"Helping Hand",Normal,EOT,0,Melee,,,"1 Target","The ally targeted with Helping Hand will have their next Move deal an additional 1d20 if the Move has a Damage Dice Roll. Helping Hand cannot miss.","Smart - 1d4 - Good Show!"
368,"Hidden Power",Normal,EOT,2,"Ranged (3)",SATK,"See Effect","No Target, Burst","Hidden Power makes a 3-meter Burst. When a pokemon first obtains the Move Hidden Power, roll 1d4 and 1d20. For the 1d4 roll, a result of 1 makes Hidden Powerâ€™s Damage Dice Roll 1d12+6; a result of 2 makes the Damage Dice Roll 2d8+6; a result of 3 makes the Damage Dice Roll 2d10+8; a result of 4 makes the Damage Dice Roll 3d8+10. For the 1d20 roll, Hidden Powerâ€™s Elemental Type will be changed from Normal to Bug on a result of 1; Dark on 2; Dragon on 3; Electric on 4; Fairy on 5; Fighting on 6; Fire on 7; Flying on 8; Ghost on 9; Grass on 10; Ground on 11; Ice on 12; Normal on 13; Poison on 14; Psychic on 15; Rock on 16; Steel on 17; Water on 18; and on a result of 19-20, reroll the d20. Those become the Hidden Powerâ€™s permanent stats for that user.","Smart - 1d4 - Catching Up"
369,"Hold Back",Normal,At-Will,2,Melee,ATK,1d12+6,"1 Target","If Hold Back would lower the target to 0 HP or less, the target is instead set to 1 HP unless the target was already below 0 HP.","Cool - None - Inversed Appeal"
370,"Horn Attack",Normal,At-Will,2,Melee,ATK,3d8+10,"1 Target, Dash",,"Cool - 3d4 - No Effect"
371,"Horn Drill",Normal,Center,15,Melee,,,"1 Target","The target is set to 0 HP.","Cool - None - Big Show"
372,Howl,Normal,At-Will,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat stage.","Cool - None - Get Ready!"
373,"Hyper Beam",Normal,Center,4,"Ranged (15)",SATK,7d10+28,"1 Target, Column, Exhaust","Hyper Beam creates a Column 1 meter wide. On Miss, Hyper Beam deals the userâ€™s Special Attack instead to all possible targets.","Cool - 2d4 - Seen Nothing Yet"
374,"Hyper Fang",Normal,EOT,4,Melee,ATK,3d10+12,"1 Target","Hyper Fang Flinches the target on 19-20 during Accuracy Check.","Cool - 2d4 - Round Ender"
375,"Hyper Voice",Normal,Battle,2,"Ranged (4)",SATK,3d12+14,"1 Target, Column, Push, Sound","Hyper Voice creates a Column 4-meters wide. All Legal Targets are Pushed back 3-meters.","Cool - 3d4 - No Effect"
376,Judgment,Normal,Center,2,"Ranged (25)",SATK,4d12+16,"1 Target, Blast","Judgement makes a 5-meter Blast. Judgmentâ€™s Type can be whatever Elemental Type the user wants it to be.","Smart - 2d4 - Scrambler"
377,"Last Resort",Normal,Battle,2,Melee,SATK,6d12+22,"1 Target, Dash","Last Resort can only be used after the user has performed 6 other different Moves.","Cute - 2d4 - Torrential Appeal"
378,Leer,Normal,At-Will,2,"Ranged (5)",,,"1 Target","The targetâ€™s Defense is lowered 1 Combat Stage.","Cool - 2d4 - Excitement"
379,Lock-On,Normal,Center,0,"Ranged (25)",,,"1 Target","The target is Locked-On. The next Move that the User uses against the Target that requires an Accuracy Check cannot miss. Lock-Onâ€™s effect, on both the User and Target, can be affected by Baton Pass.","Smart - 1d4 - Good Show!"
380,"Lovely Kiss",Normal,Battle,2,Melee,,,"1 Target","The target falls Asleep.","Beauty - 2d4 - Excitement"
381,"Lucky Chant",Normal,At-Will,0,"Ranged (4)",,,"No Target, Burst","Lucky Chant creates a 4-meter Burst. All allies in the Burst, including the user, take damage from Critical Hits as if they are not Critical Hits for 1d4+1 turns.","Cute - 2d4 - Hold That Thought"
382,"Me First",Normal,Center,0,Self,,,"1 Target, Interrupt","If the target declares a Move that has a Damage Dice Roll and Me Firstâ€™s user has a higher Speed stat then the target, you may Interrupt with Me First. Me First will use the same Move the target was about to use on that target.","Cute - 2d4 - Quick Set"
383,"Mean Look",Normal,Battle,0,"Ranged (6)",,,"1 Target","The target may not flee or be switched until it is knocked out, for the remainder of the encounter.","Beauty - 2d4 - Unsettling"
384,"Mega Kick",Normal,Center,6,Melee,ATK,5d12+18,"1 Target, Dash, Push","The target is Pushed 6-meters. The target takes an additional 1d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12.","Cool - 2d4 - Round Ender"
385,"Mega Punch",Normal,EOT,4,Melee,ATK,3d10+12,"1 Target",,"Tough - 2d4 - Round Ender"
386,Metronome,Normal,Battle,0,Self,,,"No Target","Metronome randomly uses any other Move except for After You, Assist, Bestow, Copycat, Counter, Covet, Destiny Bond, Detect, Endure, Feint, Focus Punch, Follow Me, Helping Hand, Metronome, Me First, Mimic, Mirror Coat, Mirror Move, Protect, Quash Quick Guard, Rage Powder, Sketch, Sleep Talk, Snatch, Snore, Switcheroo, Thief, Transform, Trick, Wide Guard. The GM helps to pick the random Move.","Cute - 2d4 - Scrambler"
387,"Milk Drink",Normal,Center,0,Melee,,,"1 Target","The target regains HP equal to half of its full HP. The user may target themselves with Milk Drink.","Cute - None - Reflective Appeal"
388,Mimic,Normal,Battle,0,"Ranged (15)",,,"1 Target","Choose a Move that the target has used during the encounter. For the remainder of the encounter, that Move replaces Mimic on the userâ€™s Move List. Mimic cannot miss.","Cute - None - Attention Grabber"
389,"Mind Reader",Normal,Center,0,"Ranged (10)",,,"1 Target","The target is Locked-On. The next Move that the User uses against the Target that requires an Accuracy Check cannot miss. Mind Readerâ€™s effect, on both the User and Target, can be affected by Baton Pass.","Smart - 1d4 - Good Show!"
390,Minimize,Normal,Center,0,Self,,,"No Target","Foes need an additional +4 during Accuracy Check to hit Minimizeâ€™s user and the userâ€™s size is lowered one level for the remainder of the encounter (Gigantic to Huge, to Large, to Medium to Small).<br/>Grants: Shrinkable","Cute - 2d4 - Hold That Thought"
391,"Morning Sun",Normal,Center,0,Self,,,"No Target","The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains Â¼ of their full HP.","Beauty - None - Reflective Appeal"
392,"Natural Gift",Normal,Battle,2,"Ranged (10)",SATK,"See Effect","1 Target, Berry","Refer to the Move Keywords Berry list. Natural Gift deals damage according to the Berry list and Natural Giftâ€™s Type is also defined there. The userâ€™s Berry is destroyed and is not consumed.<br/>Grants: Sprouter","Cool - 2d4 - Round Ender"
393,"Nature Power",Normal,EOT,0,"See Effect",,"See Effect",Environ,"Nature Power uses a Move defined by Environ. If the Moveâ€™s Frequency is Battle or Center, Nature Power may not be used for the remainder of the encounter.<br/>Grants: Sprouter","Beauty - 2d4 - Scrambler"
394,"Noble Roar",Normal,At-Will,2,"Ranged (3)",,,"No Target, Burst, Sound","Noble Roar creates a 3-meter Burst. Noble Roar lowers all Legal Targets Attack 1 Combat Stage and Special Attack 1 Combat Stage.","Beauty - 2d4 - Excitement"
395,"Odor Sleuth",Normal,At-Will,0,Ranged,,,"1 Target","The userâ€™s Normal-Type and Fighting-Type Moves can now hit and affect Ghost-Type targets. Odor Sleuthâ€™s user is unaffected by the effects of Moves which make them have to roll higher during Accuracy Checks to hit. Targets may not use their Speed stat to modify Accuracy Checks. Odor Sleuthâ€™s user can identify the real target using Double Team.<br/>Grants: Tracker","Smart - 1d4 - Good Show!"
396,"Pain Split",Normal,Battle,0,"Ranged (4)",,,"1 Target","Add the userâ€™s and the targetâ€™s current HP together and divide the value by 2, calling the result X. The user and targetâ€™s HP are set to X. If X exceeds a targetâ€™s or userâ€™s full HP, the excess is ignored and they are set to full HP.","Smart - 2d4 - Unsettling"
397,"Pay Day",Normal,Center,2,"Ranged (8)",ATK,1d12+6,"1 Target","Pay Day scatters metal coins equal in value to 1d8 times the userâ€™s level. If it is a trainer battle, the winner of the battle gets to pick up the coins.","Smart - 1d4 - Catching Up"
398,"Perish Song",Normal,Center,0,"Ranged (15)",,,"No Target, Burst, Sound","Perish Song creates a 15-meter Burst. Perish Song cannot miss. Perish Song can affect only pokemon. All targets, including the user, receive a Perish Count of 3. At the beginning of each of the targetâ€™s turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the pokemonâ€™s HP to 0.  A Perish Count disspears if a Pokemon returns to their Poke Ball or is knocked out.","Beauty - 2d4 - Unsettling"
399,"Play Nice",Normal,At-Will,2,"Ranged (4)",,,"1 Target","The targetâ€™s Attack is lowered 1 Combat Stage.","Cute - 2d4 - Excitement"
400,Pound,Normal,At-Will,2,Melee,ATK,1d12+6,"1 Target",,"Tough - 3d4 - No Effect"
401,Present,Normal,EOT,3,"Ranged (8)",ATK,"See Effect","1 Target","Roll 1d4. On a result of 1, use 1d10+10 for Presentâ€™s Damage Dice Roll; on a result of 2, use 2d10+10; on a result of 3, use 3d10+10; on a result of 4 the target is healed 65 HP.","Cute - None - Inversed Appeal"
402,Protect,Normal,Center,0,Self,,,"No Target, Intercept","If the user is hit by a Move, instead you are not hit by the Move. You do not take any damage nor are you affected by any of the Moveâ€™s effects.","Cute - None - Inversed Appeal"
403,"Psych Up",Normal,Battle,0,"Ranged (10)",,,"1 Target","The userâ€™s Combat Stages are changed to match the targetâ€™s Combat Stages. Psych Up cannot miss.","Smart - None - Get Ready!"
404,"Quick Attack",Normal,At-Will,2,Melee,ATK,1d12+6,"1 Target, Interrupt","If a foe wants to declare a Move, you may instead use Quick Attack on their turn before they can use their Move.","Cool - 2d4 - Quick Set"
405,Rage,Normal,At-Will,2,Melee,ATK,1d6+3,"1 Target, Spirit Surge","The userâ€™s Attack is raised 1 Combat Stage as long as they used Rage on their previous turn. If the user is damaged by an attack before itâ€™s next turn, its Attack is raised 1 Combat Stage.","Cool - None - Get Ready!"
406,"Rapid Spin",Normal,At-Will,2,Melee,ATK,1d6+3,"1 Target","On hit, Rapid Spin destroys Hazards within 5 meters, removes Leech Seeds, and removes the userâ€™s Trapped status.","Cool - 2d4 - Round Starter"
407,"Razor Wind",Normal,Battle,2,"Ranged (15)",SATK,3d10+12,"1 Target","Once you declare the use of Razor Wind, the userâ€™s turn ends. On its next turn, the user may shift and use Razor Windâ€™s damage. Razor Wind is a Critical Hit on 18-20 during Accuracy Check.","Cool - 1d4 - Special Attention"
408,Recover,Normal,Center,0,Self,,,"No Target","The user regains HP equal to half of its full HP.","Smart - None - Reflective Appeal"
409,Recycle,Normal,Center,0,Self,,,"No Target","The effect of a consumable item used earlier in the encounter is used again as if it had not been destroyed. The item is still gone.","Smart - None - Attention Grabber"
410,"Reflect Type",Normal,Battle,2,"Ranged (10)",,,"1 Target","Reflect Type changes one of the userâ€™s Types into one Type of your choice that the target has for 1d4+1 turns.","Beauty - None - Attention Grabber"
411,Refresh,Normal,Battle,0,Self,,,"No Target","The user is cured of all Status ailments.","Cute - None - Reflective Appeal"
412,"Relic Song",Normal,Battle,2,"Ranged (4)",SATK,3d12+12,"No Target, Burst, Sound","Relic Song creates a 4-meter Burst. All Legal Targets fall Asleep on 16-20 during Accuracy Check.","Beauty - 2d4 - Excitement"
413,Retaliate,Normal,Center,2,Melee,ATK,3d8+10,"1 Target","Retaliate deals an additional 5d12 during Damage Dice Roll if an ally has been lowered to 0 HP or less by the targetâ€™s Moves or Features during the last 2 rounds of combat.","Cool - 3d4 - No Effect"
414,Return,Normal,EOT,2,Melee,ATK,4d12+16,"1 Target","The user may only use Return if its Loyalty is 3 or 4.","Cute - 1d4 - Round Starter"
415,Roar,Normal,Battle,11,"Ranged (6)",,,"1 Target, Sound","The target flees away from the user 15 meters, ignoring Speed Capabilities, if terrain allows. The target may not use Moves for 4 rounds. During a trainer battle, the targetâ€™s owner must recall the fleeing target and replace them.","Cool - 2d4 - Excitement"
416,"Rock Climb",Normal,EOT,5,Melee,ATK,3d12+14,"1 Target, Dash","Rock Climb Confuses the target on 17-20 during Accuracy Checks.","Cool - 2d4 - Round Ender"
417,Round,Normal,EOT,2,"Ranged (3)",SATK,2d10+8,"No Target, Burst, Sound","Round creates a 3-meter Burst. The next Pokemon who uses Round during this round of Combat uses 20+2d10 for Roundâ€™s Damage Dice Roll. The third or any use after the third use of Round during this round of Combat uses 30+3d10 for Roundâ€™s Damage Dice Roll.","Tough - 2d4 - Reliable"
418,Safeguard,Normal,At-Will,0,"Ranged (2)",,,"No Target, Wall","Place 10-meters of Wall. If the effect of a Move that targets through any Walls of Safeguard cause a Status Affliction, they cannot cause a Status Affliction. The Walls sustain for 5 rounds.","Beauty - 2d4 - Hold That Thought"
419,"Scary Face",Normal,EOT,2,"Ranged (6)",,,"1 Target","The targetâ€™s Speed is lowered 2 Combat Stages.","Tough - 2d4 - Slow Set"
420,Scratch,Normal,At-Will,2,Melee,ATK,1d12+6,"1 Target, Pass",,"Tough - 3d4 - No Effect"
421,Screech,Normal,EOT,4,"Ranged (4)",,,"No Target, Burst, Sound","Screech creates a 4-meter Burst. All Legal Targets have their Defense lowered 2 Combat Stages.","Smart - 2d4 - Unsettling"
422,"Secret Power",Normal,EOT,2,"Ranged (8)",SATK,3d8+10,"1 Target, Environ","Secret Powerâ€™s effect depends on Environ. Secret Powerâ€™s effect activates on 17-20 during Accuracy Check.<br/>Grants: Sprouter","Smart - 2d4 - Scrambler"
423,Self-Destruct,Normal,Center,2,"Ranged (4)",ATK,10d10+46,"No Target, Burst","Selfdestruct creates a 4-meter Burst. The userâ€™s HP is set to -50% of their full HP. If the user is above Loyalty 1, their Loyalty is lowered at least 1 stage.","Beauty - None - Big Show"
424,Sharpen,Normal,At-Will,0,Self,,,"1 Target","Raise the userâ€™s Attack 1 Combat Stage.","Cute - None - Get Ready!"
425,"Shell Smash",Normal,Center,0,Self,,,"No Target","Raise the userâ€™s Attack 2 Combat Stages, raise the userâ€™s Special Attack 2 Combat Stages and raise the userâ€™s Speed 2 Combat Stages Lower the userâ€™s Defense 1 Combat Stage and lower the userâ€™s Special Defense 1 Combat Stage.","Tough - None - Get Ready!"
426,"Simple Beam",Normal,Battle,2,"Ranged (7)",,,"1 Target","Simple Beam changes one of the targetâ€™s abilities to Simple for the remainder of the encounter.","Beauty - 3d4 - No Effect"
427,Sing,Normal,Battle,11,"Ranged (4)",,,"No Target, Burst, Sound","Sing creates a 4-meter Burst. All Legal Targets fall Asleep.","Cute - 2d4 - Excitement"
428,Sketch,Normal,Center,0,"Ranged (25)",,,"1 Target","Sketch cannot miss. Once Sketch has been used, remove Sketch from the userâ€™s Move list. The last Move that the target used is added to the userâ€™s Move list permanently. Sketch may not be Interrupted or Intercepted.","Smart - 1d4 - Catching Up"
429,"Skull Bash",Normal,Battle,2,Melee,ATK,4d12+16,"1 Target, Dash, Push, Set Up","Once you declare the use of Skull Bash, the userâ€™s turn ends. On its next turn, the user may shift and use Skull Bashâ€™s damage and effect. The target is Pushed 4-meters. The target takes an additional 1d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12.","Tough - 1d4 - Special Attention"
430,"Slack Off",Normal,Center,0,Self,,,"No Target","The user regains HP equal to half of its full HP.","Cute - None - Reflective Appeal"
431,Slam,Normal,EOT,6,Melee,ATK,3d10+12,"1 Target, Dash",,"Tough - 3d4 - No Effect"
432,Slash,Normal,EOT,2,Melee,ATK,3d8+10,"1 Target, Pass","Slash is a Critical Hit on 18-20 during Accuracy Check.","Cool - 3d4 - No Effect"
433,"Sleep Talk",Normal,Battle,0,Self,,,"No Target","The user randomly uses one of their other Moves, ignoring Frequencies. Sleep Talk can only be used while the user is Asleep.","Cute - 3d4 - No Effect"
434,"Smelling Salts",Normal,Battle,2,Melee,ATK,2d10+8,"1 Target","If the target is Paralyzed, Smelling Salts does an additional 5d10 for Damage Dice Roll and cures the target of Paralysis.","Smart - None - Unsettling"
435,Smokescreen,Normal,EOT,0,"Ranged (3)",,,"No Target, Wall","Place 5-meters of Wall. Smokescreenâ€™s Walls must be placed within 3-meters of the user. If anyoneâ€™s Move tries to target through a Smokescreen wall, they must roll +3 during Accuracy Check to hit. The walls remain for 5 rounds. Brick Break cannot break Smokescreenâ€™s Walls.","Smart - 2d4 - Unsettling"
436,Snore,Normal,EOT,2,"Ranged (5)",SATK,1d12+6,"No Target, Burst, Sound","Snore creates a 5-meter Burst. Snore Flinches all legal targets on 15-20 during Accuracy Check. Snore can only be used by a Sleeping pokemon.","Cute - 3d4 - No Effect"
437,Softboiled,Normal,Center,0,Melee,,,"1 Target","The target regains HP equal to half of its full HP. The user may target themselves with Softboiled.","Beauty - None - Reflective Appeal"
438,"Sonic Boom",Normal,EOT,6,"Ranged (4)",,15,"1 Target, Column","Sonicboom creates a Column 1 meter wide. Sonicboom always deals 15 points of Damage. Do not apply weakness or resistance. Do not apply stats.","Cool - 3d4 - No Effect"
439,"Spike Cannon",Normal,EOT,4,"Ranged (6)",ATK,1d6+3,"1 Target, Scatter","Spike Cannon can hit up to 5 times. Once the user misses, they cannot attempt to make another Spike Cannon attack on that turn. When adding stats only add Â½ Attack.","Cool - 2d4 - Reliable"
440,"Spit Up",Normal,Battle,2,"Ranged (8)",SATK,"See Effect","1 Target","If the user is Stockpiled 1, use 3d10+12 for Spit Upâ€™s Damage Dice Roll; if the user is Stockpiled 2, use 4d12+16; if the user is Stockpiled 3, use 5d12+18. After using Spit Up, the userâ€™s Stockpiled count is set to 0. If the user has no Stockpiled count, Spit Up does nothing.","Tough - 2d4 - Round Ender"
441,Splash,Normal,At-Will,0,Self,,,"No Target",,"Cute - None - Inversed Appeal"
442,Stockpile,Normal,At-Will,0,Self,,,"No Target","The user adds 1 to their Stockpiled count to a maximum of 3. For each number a Stockpiled count is above 0, raise the userâ€™s Defense 1 Combat Stage and raise the userâ€™s Special Defense 1 Combat Stage. If a Stockpiled count is set to 0, the Combat Stages gained from the Stockpiled count are removed.<br/>Grants: Inflatable","Tough - None - Get Ready!"
443,Stomp,Normal,EOT,2,Melee,ATK,3d8+10,"1 Target, Dash","Stomp Flinches the target on 15-20 during Accuracy Check. If the target is Small, Stomp deals an additional 1d10.","Tough - 3d4 - No Effect"
444,Strength,Normal,EOT,4,Melee,ATK,3d10+12,"1 Target, Push","The target is Pushed 8-meters.<br/>Grants: +1 Power","Tough - 3d4 - No Effect"
445,Substitute,Normal,Battle,0,Self,,,"No Target, Coat","The user loses Â¼ of their full HP. A Coat is made which has HP equal to the HP lost when using this Move +1. If the user would be hit by a Move, instead the Coat gets hit. Apply weakness, resistance and stats to the Coat.  The Coat is immune to Status Afflictions. Substitute cannot be used if the user has less then Â¼ of their full HP. Sound Moves ignore Substitute.","Smart - 1d4 - Catching Up"
446,"Super Fang",Normal,Battle,4,Melee,,,"1 Target","The targetâ€™s HP is halved. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. When halving the targetâ€™s HP with Super Fang, round up.","Tough - 3d4 - No Effect"
447,Supersonic,Normal,EOT,11,"Ranged (6)",,,"1 Target, Column, Sound","Supersonic creates a Column 1 meter wide. Supersonic Confuses all Legal Targets.","Smart - 2d4 - Excitement"
448,Swagger,Normal,EOT,4,"Ranged (8)",,,"1 Target","The targetâ€™s Attack is raised 2 Combat Stages. Swagger Confuses the target.","Cute - 2d4 - Excitement"
449,Swallow,Normal,Center,0,Self,,,"No Target","If the user is Stockpiled 1, they are healed 25% of their full HP; if the user is Stockpiled 2, they are healed half of their full HP; if the user is Stockpiled 3, they are healed back to full HP. After using Swallow, the userâ€™s Stockpiled count is set to 0. If the user has no Stockpiled count, Swallow does nothing.","Tough - None - Reflective Appeal"
450,"Sweet Scent",Normal,Battle,2,"Ranged (5)",,,"No Target, Burst","Sweet Scent creates a 5-meter Burst. For the remainder of the encounter, when targeting any Legal Targets that were hit by Sweet Scent, you need -2 to hit that target during Accuracy Check.<br/>Grants: Alluring","Cute - 2d4 - Excitement"
451,Swift,Normal,EOT,0,"Ranged (10)",SATK,2d10+8,"1 Target","Swift cannot Miss.","Cool - 2d4 - Round Starter"
452,"Swords Dance",Normal,EOT,0,Self,,,"No Target","The userâ€™s Attack is raised 2 Combat Stages.","Beauty - None - Get Ready!"
453,Tackle,Normal,At-Will,3,Melee,ATK,2d8+6,"1 Target, Dash",,"Tough - 3d4 - No Effect"
454,"Tail Slap",Normal,EOT,4,Melee,ATK,1d10+4,"1 Target, Scatter","Tail Slap can hit up to 5 times. Once the user misses, they cannot attempt to make another Tail Slap attack on that turn.","Cute - 2d4 - Reliable"
455,"Tail Whip",Normal,At-Will,2,"Ranged (4)",,,"1 Target","The targetâ€™s Defense is lowered 1 Combat Stage.","Cute - 2d4 - Excitement"
456,"Take Down",Normal,EOT,5,Melee,ATK,3d12+14,"1 Target, Dash, Recoil 1/4","After Take Down deals damage, Recoil.","Tough - 3d4 - No Effect"
457,"Techno Blast",Normal,Center,2,"Ranged (10)",SATK,3d12+18,"1 Target","Techno Blastâ€™s Type can be any Type while holding the appropriate Drive item or Plate item.","Smart - 2d4 - Seen Nothing Yet"
458,"Teeter Dance",Normal,Battle,2,"Ranged (7)",,,"No target, Burst","Teeter Dance creates a 7-meter Burst. Teeter Dance Confuses all Legal Targets.","Cute - 2d4 - Scrambler"
459,Thrash,Normal,Center,3,Melee,ATK,5d12+18,"1 target","Thrashâ€™s user must make another Melee attack for 1d2 more turns. The attack is identical to Thrash except for Thrashâ€™s effect. After the first target is declared, Thrash targets the nearest Legal Target for its second or third round of use if the original target is unconscious. If potential targets are an equal distance from the user, you may choose the target. After Thrashâ€™s additional use(s) end(s), the user becomes Confused. For Pokemon users, the additional 1d2 are their Trainerâ€™s Command Actions, unless the Trainer is unconscious, in which case the Pokemon acts on its own until finished.","Tough - 2d4 - Reliable"
460,Tickle,Normal,EOT,2,Melee,,,"1 Target","Lower the targetâ€™s Attack 1 Combat Stage and lower the targetâ€™s Defense 1 Combat Stage.","Cute - 2d4 - Excitement"
461,Transform,Normal,Battle,0,"Ranged (25)",,,"No Target","The user assumes the form of the Pokemon-target gaining its type(s) and learns all of that specific targetâ€™s Moves, gains its Abilitys, copies its weight and height and Capabilties for the remainder of the encounter, or until the user chooses to revert to its original form, or until the user uses Transform to change into something else. The userâ€™s Stats do not change. Transform cannot miss.","Smart - 1d4 - Catching Up"
462,"Tri Attack",Normal,Battle,2,"Ranged (8)",SATK,3d10+12,"1 target","Tri Attack gives the target a Status ailment on 17-20 during Accuracy Check. If you rolled 17-20, roll 1d4; on 2 the target is Paralyzed; on 3 the target is Burned; on 4 the target is Frozen; on 1 reroll the die.","Beauty - 3d4 - No Effect"
463,"Trump Card",Normal,EOT,2,"Ranged (10)",SATK,"See Effect","1 Target","If the user has only used Trump Card once this encounter, use 1d10+4 for Trump Cardâ€™s Damage Dice Roll. If it is the second time the user is using Trump Card, use 1d10+4. If it is the third time the user is using Trump Card, use 1d12+6. If it is the fourth time the user is using Trump Card, use 2d10+8. If it is the fifth time the user is using Trump Card, use 7d10+28 and Trump Cardâ€™s Frequency changes to Center for the rest of the encounter.","Cool - None - Round Starter"
464,Uproar,Normal,Battle,2,"Ranged (5)",SATK,3d12+14,"No Target, Burst, Sound","Uproar creates a 5-meter Burst that continues for 1d4+1 turns. At the beginning of the userâ€™s turn where Uproar is continuing, they may shift then must immediately use Uproar again. Anyone in Uproarâ€™s Burst on any turn Uproar is continuing is cured of Sleep.","Cute - 2d4 - Unsettling"
